KEY,FREQ,REF_AREA,CURRENCY,PROVIDER_FM,INSTRUMENT_FM,PROVIDER_FM_ID,DATA_TYPE_FM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,FM_CONTRACT_TIME,FM_COUPON_RATE,FM_IDENTIFIER,FM_LOT_SIZE,FM_MATURITY,FM_OUTS_AMOUNT,FM_PUT_CALL,FM_STRIKE_PRICE,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA0,B,U2,EUR,4F,G_N_A,SV_C_YM,BETA0,2022-10-03,2.24948623240193,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve parameters, Beta 0 - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve parameters, Beta 0 - Euro, provided by ECB",PURE_NUMB,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA1,B,U2,EUR,4F,G_N_A,SV_C_YM,BETA1,2022-10-03,-2.4994862324019067,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve parameters, Beta 1 - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve parameters, Beta 1 - Euro, provided by ECB",PURE_NUMB,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA2,B,U2,EUR,4F,G_N_A,SV_C_YM,BETA2,2022-10-03,25.423482484008108,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve parameters, Beta 2 - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve parameters, Beta 2 - Euro, provided by ECB",PURE_NUMB,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA3,B,U2,EUR,4F,G_N_A,SV_C_YM,BETA3,2022-10-03,-23.97141471271648,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve parameters, Beta 3 - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve parameters, Beta 3 - Euro, provided by ECB",PURE_NUMB,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10M,2022-10-03,1.8606368330204273,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y,2022-10-03,2.249428406992214,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y10M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y10M,2022-10-03,2.2494681703966988,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 10-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 10-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y11M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y11M,2022-10-03,2.2494701654148983,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 11-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 11-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y1M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y1M,2022-10-03,2.2494347284072878,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 1-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 1-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y2M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y2M,2022-10-03,2.249440365114688,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 2-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 2-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y3M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y3M,2022-10-03,2.2494453904721645,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 3-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 3-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y4M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y4M,2022-10-03,2.2494498700810253,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 4-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 4-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y5M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y5M,2022-10-03,2.2494538625930796,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 5-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 5-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y6M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y6M,2022-10-03,2.249457420435332,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 6-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 6-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y7M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y7M,2022-10-03,2.2494605904605787,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 7-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 7-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y8M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y8M,2022-10-03,2.249463414531304,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 8-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 8-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y9M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y9M,2022-10-03,2.249465930043536,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 9-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 9-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_11M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_11M,2022-10-03,1.824748133387569,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 11-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 11-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_11Y,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_11Y,2022-10-03,2.2494719417245443,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 11-year maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 11-year maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_11Y10M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_11Y10M,2022-10-03,2.2494818302874875,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 11-year 10-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 11-year 10-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_11Y11M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_11Y11M,2022-10-03,2.2494823214596114,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 11-year 11-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 11-year 11-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_11Y1M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_11Y1M,2022-10-03,2.249473523092748,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 11-year 1-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 11-year 1-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_11Y2M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_11Y2M,2022-10-03,2.249474930730478,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 11-year 2-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 11-year 2-month residual maturity - Euro, provided by ECB",PCPA,0
